experiment,tool_family,count
runs/phase6,file_reader,363
runs/openrouter-v1,file_reader,205
runs/openrouter-v1,blockchain_rpc,161
runs/phase6,filesystem_inventory,79
runs/rca,file_reader,78
runs/openrouter-v1,package_manager,57
runs/openrouter-v1,search,48
runs/openrouter-v1,other_cli,40
runs/vllm-smoke,file_reader,33
runs/openrouter-v1,language_runtime,29
runs/openrouter-v1,build_test,29
runs/phase6,search,26
runs/openrouter-v1,filesystem_inventory,21
runs/openrouter-v1,version_control,17
runs/phase6,other_cli,17
runs/rca,filesystem_inventory,17
runs/vllm-smoke,filesystem_inventory,8
runs/openrouter-v1,text_processing,3
runs/phase6,build_test,3
runs/phase6,language_runtime,2
runs/rca,search,2
runs/rca,other_cli,2
runs/phase6,package_manager,1
runs/phase6,version_control,1
runs/rca,build_test,1
runs/rca,language_runtime,1
